transaction_id,timestamp,branch,item,category,qty,unit_price,line_total,ticket_total,discount,tax,void,comp,refund,payment_method,staff
T20260117-00001,2026-01-17T09:12:00,MAIN,Breakfast Set,food,1,45.00,45.00,81.00,0.00,12.15,0,0,0,cash,S001
T20260117-00001,2026-01-17T09:12:00,MAIN,Latte,beverage,2,18.00,36.00,81.00,0.00,12.15,0,0,0,cash,S001
T20260117-00002,2026-01-17T21:58:00,MAIN,Bottled Water,other,1,5.00,5.00,121.00,0.00,18.15,0,0,0,cash,S001
T20260117-00002,2026-01-17T21:58:00,MAIN,Flat White,other,1,22.00,22.00,121.00,0.00,18.15,0,0,0,cash,S001
T20260117-00002,2026-01-17T21:58:00,MAIN,Chicken Sandwich,food,1,38.00,38.00,121.00,0.00,18.15,0,0,0,cash,S001
T20260117-00002,2026-01-17T21:58:00,MAIN,Dessert of Day,other,2,28.00,56.00,121.00,0.00,18.15,0,0,0,cash,S001
T20260117-00003,2026-01-17T08:01:00,MAIN,Matcha Latte,beverage,1,26.00,26.00,121.00,0.00,18.15,0,0,0,apple_pay,S003
T20260117-00003,2026-01-17T08:01:00,MAIN,Dessert of Day,other,1,28.00,28.00,121.00,0.00,18.15,0,0,0,apple_pay,S003
T20260117-00003,2026-01-17T08:01:00,MAIN,Flat White,other,1,22.00,22.00,121.00,0.00,18.15,0,0,0,apple_pay,S003
T20260117-00003,2026-01-17T08:01:00,MAIN,Breakfast Set,food,1,45.00,45.00,121.00,0.00,18.15,0,0,0,apple_pay,S003
T20260117-00004,2026-01-17T20:09:00,MAIN,Iced Americano,other,1,16.00,16.00,35.00,0.00,5.25,0,0,0,cash,S003
T20260117-00004,2026-01-17T20:09:00,MAIN,Bottled Water,other,1,5.00,5.00,35.00,0.00,5.25,0,0,0,cash,S003
T20260117-00004,2026-01-17T20:09:00,MAIN,Croissant,other,1,14.00,14.00,35.00,0.00,5.25,0,0,0,cash,S003
T20260117-00005,2026-01-17T12:17:00,MAIN,Mocha,beverage,1,24.00,24.00,24.00,0.00,3.60,0,0,0,cash,S003
T20260117-00006,2026-01-17T21:58:00,MAIN,Latte,beverage,2,18.00,36.00,52.00,0.00,7.80,0,0,0,cash,S004
T20260117-00006,2026-01-17T21:58:00,MAIN,Iced Americano,other,1,16.00,16.00,52.00,0.00,7.80,0,0,0,cash,S004
T20260117-00007,2026-01-17T10:17:00,MAIN,Flat White,other,1,22.00,22.00,78.00,0.00,11.70,0,0,0,cash,S003
T20260117-00007,2026-01-17T10:17:00,MAIN,Dessert of Day,other,2,28.00,56.00,78.00,0.00,11.70,0,0,0,cash,S003
T20260117-00008,2026-01-17T22:14:00,MAIN,Matcha Latte,beverage,2,26.00,52.00,52.00,0.00,7.80,0,0,0,cash,S004
T20260117-00009,2026-01-17T18:43:00,MAIN,Bottled Water,other,3,5.00,15.00,59.00,0.00,8.85,0,0,0,mastercard,S005
T20260117-00009,2026-01-17T18:43:00,MAIN,Flat White,other,2,22.00,44.00,59.00,0.00,8.85,0,0,0,mastercard,S005
T20260117-00010,2026-01-17T09:00:00,MAIN,Croissant,other,1,14.00,14.00,59.00,0.00,8.85,0,0,0,mastercard,S003
T20260117-00010,2026-01-17T09:00:00,MAIN,Iced Americano,other,1,16.00,16.00,59.00,0.00,8.85,0,0,0,mastercard,S003
T20260117-00010,2026-01-17T09:00:00,MAIN,Bottled Water,other,1,5.00,5.00,59.00,0.00,8.85,0,0,0,mastercard,S003
