transaction_id,timestamp,branch,item,category,qty,unit_price,line_total,ticket_total,discount,tax,void,comp,refund,payment_method,staff
T20260117-00001,2026-01-17T18:21:00,MAIN,Dessert of Day,other,1,28.00,28.00,28.00,0.00,4.20,0,0,0,apple_pay,S002
T20260117-00002,2026-01-17T16:13:00,MAIN,Breakfast Set,food,1,45.00,45.00,45.00,0.00,6.75,0,0,0,mastercard,S002
T20260117-00003,2026-01-17T15:48:00,MAIN,Dessert of Day,other,1,28.00,28.00,28.00,0.00,4.20,0,0,0,mada,S005
T20260117-00004,2026-01-17T11:27:00,MAIN,Breakfast Set,food,1,45.00,45.00,59.00,0.00,8.85,0,0,0,apple_pay,S003
T20260117-00004,2026-01-17T11:27:00,MAIN,Croissant,other,1,14.00,14.00,59.00,0.00,8.85,0,0,0,apple_pay,S003
T20260117-00005,2026-01-17T11:43:00,MAIN,Bottled Water,other,3,5.00,15.00,75.00,0.00,11.25,0,0,0,cash,S004
T20260117-00005,2026-01-17T11:43:00,MAIN,Chicken Sandwich,food,1,38.00,38.00,75.00,0.00,11.25,0,0,0,cash,S004
T20260117-00005,2026-01-17T11:43:00,MAIN,Flat White,other,1,22.00,22.00,75.00,0.00,11.25,0,0,0,cash,S004
T20260117-00006,2026-01-17T11:45:00,MAIN,Mocha,beverage,2,24.00,48.00,124.00,0.00,18.60,0,0,0,cash,S002
T20260117-00006,2026-01-17T11:45:00,MAIN,Chicken Sandwich,food,2,38.00,76.00,124.00,0.00,18.60,0,0,0,cash,S002
T20260117-00007,2026-01-17T11:19:00,MAIN,Iced Americano,other,1,16.00,16.00,21.00,0.00,3.15,0,0,0,mastercard,S005
T20260117-00007,2026-01-17T11:19:00,MAIN,Bottled Water,other,1,5.00,5.00,21.00,0.00,3.15,0,0,0,mastercard,S005
T20260117-00008,2026-01-17T16:41:00,MAIN,Matcha Latte,beverage,1,26.00,26.00,59.00,0.00,8.85,0,0,0,cash,S004
T20260117-00008,2026-01-17T16:41:00,MAIN,Bottled Water,other,1,5.00,5.00,59.00,0.00,8.85,0,0,0,cash,S004
T20260117-00008,2026-01-17T16:41:00,MAIN,Dessert of Day,other,1,28.00,28.00,59.00,0.00,8.85,0,0,0,cash,S004
T20260117-00009,2026-01-17T10:12:00,MAIN,Dessert of Day,other,1,28.00,28.00,115.00,0.00,17.25,0,0,0,visa,S004
T20260117-00009,2026-01-17T10:12:00,MAIN,Chicken Sandwich,food,1,38.00,38.00,115.00,0.00,17.25,0,0,0,visa,S004
T20260117-00009,2026-01-17T10:12:00,MAIN,Bottled Water,other,1,5.00,5.00,115.00,0.00,17.25,0,0,0,visa,S004
T20260117-00009,2026-01-17T10:12:00,MAIN,Flat White,other,2,22.00,44.00,115.00,0.00,17.25,0,0,0,visa,S004
T20260117-00010,2026-01-17T12:32:00,MAIN,Matcha Latte,beverage,1,26.00,26.00,82.00,0.00,12.30,0,0,0,mastercard,S003
T20260117-00010,2026-01-17T12:32:00,MAIN,Dessert of Day,other,2,28.00,56.00,82.00,0.00,12.30,0,0,0,mastercard,S003
T20260117-00011,2026-01-17T16:35:00,MAIN,Chicken Sandwich,food,1,38.00,38.00,38.00,0.00,5.70,0,0,0,mada,S003
T20260117-00012,2026-01-17T11:49:00,MAIN,Latte,beverage,2,18.00,36.00,36.00,0.00,5.40,0,0,0,cash,S004
T20260117-00013,2026-01-17T12:55:00,MAIN,Chicken Sandwich,food,1,38.00,38.00,64.00,0.00,9.60,0,0,0,cash,S003
T20260117-00013,2026-01-17T12:55:00,MAIN,Matcha Latte,beverage,1,26.00,26.00,64.00,0.00,9.60,0,0,0,cash,S003
T20260117-00014,2026-01-17T17:54:00,MAIN,Chicken Sandwich,food,2,38.00,76.00,76.00,0.00,11.40,1,0,0,visa,S004
T20260117-00015,2026-01-17T09:04:00,MAIN,Flat White,other,1,22.00,22.00,22.00,0.00,3.30,0,0,0,apple_pay,S004
T20260117-00016,2026-01-17T18:04:00,MAIN,Cappuccino,other,1,20.00,20.00,76.00,0.00,11.40,0,0,0,mastercard,S001
T20260117-00016,2026-01-17T18:04:00,MAIN,Croissant,other,2,14.00,28.00,76.00,0.00,11.40,0,0,0,mastercard,S001
T20260117-00016,2026-01-17T18:04:00,MAIN,Dessert of Day,other,1,28.00,28.00,76.00,0.00,11.40,0,0,0,mastercard,S001
T20260117-00017,2026-01-17T20:11:00,MAIN,Mocha,beverage,1,24.00,24.00,24.00,0.00,3.60,0,0,0,apple_pay,S002
T20260117-00018,2026-01-17T13:02:00,MAIN,Cappuccino,other,1,20.00,20.00,117.00,0.00,17.55,0,0,0,apple_pay,S002
T20260117-00018,2026-01-17T13:02:00,MAIN,Croissant,other,1,14.00,14.00,117.00,0.00,17.55,0,0,0,apple_pay,S002
