transaction_id,timestamp,branch,item,category,qty,unit_price,line_total,ticket_total,discount,tax,void,comp,refund,payment_method,staff
T20260117-00001,2026-01-17T19:59:00,MAIN,Flat White,other,3,22.00,66.00,144.00,0.00,21.60,0,0,0,mastercard,S005
T20260117-00001,2026-01-17T19:59:00,MAIN,Matcha Latte,beverage,3,26.00,78.00,144.00,0.00,21.60,0,0,0,mastercard,S005
T20260117-00002,2026-01-17T14:04:00,MAIN,Chicken Sandwich,food,1,38.00,38.00,38.00,0.00,5.70,0,0,0,mastercard,S001
T20260117-00003,2026-01-17T08:48:00,MAIN,Iced Americano,other,1,16.00,16.00,59.00,0.00,8.85,0,0,0,visa,S005
T20260117-00003,2026-01-17T08:48:00,MAIN,Bottled Water,other,1,5.00,5.00,59.00,0.00,8.85,0,0,0,visa,S005
T20260117-00003,2026-01-17T08:48:00,MAIN,Chicken Sandwich,food,1,38.00,38.00,59.00,0.00,8.85,0,0,0,visa,S005
T20260117-00004,2026-01-17T10:09:00,MAIN,Flat White,other,1,22.00,22.00,70.00,0.00,10.50,0,0,0,mastercard,S002
T20260117-00004,2026-01-17T10:09:00,MAIN,Mocha,beverage,2,24.00,48.00,70.00,0.00,10.50,0,0,0,mastercard,S002
T20260117-00005,2026-01-17T21:30:00,MAIN,Chicken Sandwich,food,1,38.00,38.00,98.00,0.00,14.70,0,0,0,mada,S001
T20260117-00005,2026-01-17T21:30:00,MAIN,Mocha,beverage,1,24.00,24.00,98.00,0.00,14.70,0,0,0,mada,S001
T20260117-00005,2026-01-17T21:30:00,MAIN,Flat White,other,1,22.00,22.00,98.00,0.00,14.70,0,0,0,mada,S001
T20260117-00005,2026-01-17T21:30:00,MAIN,Croissant,other,1,14.00,14.00,98.00,0.00,14.70,0,0,0,mada,S001
T20260117-00006,2026-01-17T14:21:00,MAIN,Dessert of Day,other,1,28.00,28.00,28.00,0.00,4.20,0,0,0,apple_pay,S003
T20260117-00007,2026-01-17T15:18:00,MAIN,Dessert of Day,other,2,28.00,56.00,119.00,0.00,17.85,0,0,0,mada,S004
T20260117-00007,2026-01-17T15:18:00,MAIN,Breakfast Set,food,1,45.00,45.00,119.00,0.00,17.85,0,0,0,mada,S004
T20260117-00007,2026-01-17T15:18:00,MAIN,Latte,beverage,1,18.00,18.00,119.00,0.00,17.85,0,0,0,mada,S004
T20260117-00008,2026-01-17T10:59:00,MAIN,Chicken Sandwich,food,1,38.00,38.00,56.00,0.00,8.40,0,0,0,visa,S004
